time,queue_length
0.0,0
0.0,0
0.0,1
0.0,1
0.0,0
0.007063191813597538,0
0.007063191813597538,1
0.011635419918110367,1
0.011635419918110367,2
0.02340887632988426,2
0.02340887632988426,3
0.026851958857896877,3
0.026851958857896877,4
0.0369686597199132,4
0.0369686597199132,5
0.044634580123454434,5
0.044634580123454434,6
0.04786976464021021,6
0.04786976464021021,7
0.057576839198137865,7
0.057576839198137865,8
0.06051677667970245,8
0.06051677667970245,9
0.10799436021875,9
0.10799436021875,8
0.19199436021875008,8
0.19199436021875008,7
0.2309943602187501,7
0.2309943602187501,6
0.2639943602187501,6
0.2639943602187501,5
0.3689943602187502,5
0.3689943602187502,4
0.43499436021875026,4
0.43499436021875026,3
0.5489943602187504,3
0.5489943602187504,2
0.6629943602187505,2
0.6629943602187505,1
0.7139943602187505,1
0.7139943602187505,0
0.8258695313519856,0
0.8258695313519856,1
0.8258695313519856,1
0.8258695313519856,0
0.8292754494514601,0
0.8292754494514601,1
0.8329817168436118,1
0.8329817168436118,2
0.8414947931672639,2
0.8414947931672639,3
0.8558014637625413,3
0.8558014637625413,4
0.8599842120030962,4
0.8599842120030962,5
0.8655988530934372,5
0.8655988530934372,6
0.8770338914960777,6
0.8770338914960777,7
0.8930809002674586,7
0.8930809002674586,8
0.9037911827275505,8
0.9037911827275505,9
0.9051953449769856,9
0.9051953449769856,8
0.9119033815625218,8
0.9119033815625218,9
0.9283614550830599,9
0.9283614550830599,10
0.9314322456839556,10
0.9314322456839556,11
0.9461941914942565,11
0.9461941914942565,12
0.9527645652174327,12
0.9527645652174327,13
0.9572418384177798,13
0.9572418384177798,14
0.9591953449769857,14
0.9591953449769857,13
0.9613380466461082,13
0.9613380466461082,14
0.968180184913176,14
0.968180184913176,15
0.9823324044845045,15
0.9823324044845045,16
0.9873348643554093,16
0.9873348643554093,17
0.9981099067121488,17
0.9981099067121488,18
1.009710260664686,18
1.009710260664686,19
1.0174727852799366,19
1.0174727852799366,20
1.0277603055861542,20
1.0277603055861542,21
1.03106446682577,21
1.03106446682577,22
1.0343227236732837,22
1.0343227236732837,23
1.039688529137882,23
1.039688529137882,24
1.0518862887516995,24
1.0518862887516995,25
